method,target,n_runs,feasibility_rate_percent,mean_peak_y_true,std_peak_y_true,mean_target_error_mm,std_target_error_mm,min_target_error_mm,max_target_error_mm,mean_max_abs_xr_true,mean_residual_margin_mm,min_residual_margin_mm,mean_best_iteration,mean_optimization_time_s,total_true_simulator_calls
BO,0.55,2,100.0,0.5499447486396594,8.827516476660755e-05,0.062419967616855705,0.07813722313343124,0.0071686072761201,0.1176713279575913,0.4930997170143355,6.900282985664503,3.537650131951509,110.0,167.21333969885018,400
BO,0.6,2,100.0,0.6001502271293144,0.00043590793164121803,0.3082334544364795,0.2124532437127946,0.1580063251220842,0.4584605837508748,0.4750347180340341,24.965281965965925,22.88115229893145,105.5,172.4369026022032,400
BO,0.65,2,100.0,0.6500740466072052,6.225883580133498e-06,0.0740466072052248,0.006225883580133523,0.0696442427068344,0.0784489717036152,0.494091664850853,5.908335149147015,5.340375051678892,112.0,168.0145626491867,400
BO,0.7,2,100.0,0.6682389539841176,0.004430574675414963,31.761046015882364,4.430574675414964,28.62815661834306,34.89393541342167,0.49983244697327467,0.1675530267253311,0.1501765286701095,171.5,165.94793880009092,400
BO,0.75,2,100.0,0.6712744440965083,0.002051339365162629,78.72555590349172,2.0513393651626255,77.27503992787032,80.17607187911312,0.4973812895720447,2.618710427955251,1.011072259169632,146.0,166.3980816496769,400
RandomSearch,0.55,2,100.0,0.5511095338275418,0.0015264917891266972,1.1095338275418085,1.5264917891267362,0.030141132024708,2.188926523058909,0.4762037791430743,23.796220856925594,15.751940361768357,96.5,90.56279224937316,400
RandomSearch,0.6,2,100.0,0.60008356616573,0.0001855235720361819,0.1311849758567351,0.11818040493091231,0.0476188101267149,0.2147511415867553,0.48582591394241587,14.174086057584134,10.066619344771876,120.5,86.25754255068023,400
RandomSearch,0.65,2,100.0,0.6480643827179884,0.005944989687400088,4.203742522044696,2.7373762117846048,2.2681252400330587,6.139359804056332,0.4980518808431405,1.94811915685944,0.1279138667877322,97.5,85.73720175109338,400
RandomSearch,0.7,2,100.0,0.6480905397592118,0.005981981329849829,51.909460240788135,5.981981329849827,47.67956067752,56.13935980405627,0.49511356525170325,4.886434748296725,3.768324446931148,93.0,82.53446030127816,400
RandomSearch,0.75,2,100.0,0.6480905397592118,0.005981981329849829,101.90946024078818,5.981981329849832,97.67956067752004,106.13935980405633,0.49511356525170325,4.886434748296725,3.768324446931148,93.0,81.76811629964504,400
