n_train,repeat,rmse,mae,r2,high_rmse,high_mae,high_r2,high_n,mean_pred_std,max_abs_error,train_time_s,prediction_time_s,optimized_kernel
100,1,0.02892821092901247,0.018459064017899023,0.9245215738402273,0.034712849025993524,0.022578383368224743,0.7380880892011685,110,0.032528496229972045,0.1794289938080308,0.5978789329528809,0.001308441162109375,"2.43**2 * Matern(length_scale=[24.2, 210, 2.64, 5.97, 3.97, 1e+03, 11.6, 9.9, 18.1], nu=2.5) + WhiteKernel(noise_level=0.0355)"
100,2,0.02939710540608727,0.018780231903768183,0.9220548989931471,0.028833211024448645,0.017557832013382613,0.8192989188181892,110,0.023447917941922407,0.18779911689581985,0.45415186882019043,0.0008270740509033203,"2.26**2 * Matern(length_scale=[10.6, 10.4, 2.23, 3.76, 5.35, 33.4, 9.55, 7.73, 16.6], nu=2.5) + WhiteKernel(noise_level=1.53e-10)"
100,3,0.03043460140599174,0.01840762755408062,0.9164560660663885,0.03579452978894059,0.019616105898762323,0.7215109949846434,110,0.03807658133764581,0.20529949320078866,0.4856104850769043,0.0008819103240966797,"1.25**2 * Matern(length_scale=[9.43, 22.6, 1.07, 3.61, 3.22, 27.8, 2.88, 3.57, 7.37], nu=2.5) + WhiteKernel(noise_level=1.53e-10)"
200,1,0.020744007601454534,0.011021797408505923,0.961188090432461,0.021116395218986585,0.011191115931377891,0.9030798018019395,110,0.015022586883987221,0.20542761867228765,1.6397054195404053,0.0017881393432617188,"4.99**2 * Matern(length_scale=[15.8, 55.5, 3.48, 7.56, 5.74, 111, 10.1, 15.2, 46.3], nu=2.5) + WhiteKernel(noise_level=0.00267)"
200,2,0.023969345522021814,0.013720684105107368,0.9481806409724326,0.019800468092880087,0.011515333441649652,0.9147831170273697,110,0.015929686038698692,0.20167650510332924,1.6467387676239014,0.0016565322875976562,"7.32**2 * Matern(length_scale=[35.9, 97.3, 4.03, 13.2, 7.18, 1e+03, 17.3, 30.4, 72.7], nu=2.5) + WhiteKernel(noise_level=0.00863)"
200,3,0.023781774406140297,0.013156313020591958,0.9489884881440869,0.026043641744852998,0.013463757754467566,0.8525726173933512,110,0.016841227386484366,0.1893105180133695,1.3881990909576416,0.0016541481018066406,"4.79**2 * Matern(length_scale=[23, 118, 3.02, 6.77, 6.39, 151, 15.9, 15, 42.9], nu=2.5) + WhiteKernel(noise_level=0.00622)"
400,1,0.02084067306902886,0.010065103539009376,0.960825526655974,0.018382872541609058,0.009037115484942376,0.9265483625199099,110,0.013068220587025867,0.21029615406351343,9.569175243377686,0.003141641616821289,"8.94**2 * Matern(length_scale=[26.3, 73.4, 4.76, 10.3, 6.88, 388, 13.2, 23.4, 89], nu=2.5) + WhiteKernel(noise_level=0.0048)"
400,2,0.020524679599189986,0.00987186560177917,0.9620044743141709,0.020361338322587796,0.00964310353381221,0.909887016149029,110,0.013458608170972202,0.20840716218746858,8.537264823913574,0.003170013427734375,"10.2**2 * Matern(length_scale=[37.1, 41.2, 4.75, 12.5, 7.63, 473, 15.9, 28.9, 124], nu=2.5) + WhiteKernel(noise_level=0.00638)"
400,3,0.02861101441062176,0.015397382445472988,0.9261677340782758,0.03576993172891005,0.016617949752209007,0.721893619678335,110,0.025347820151739465,0.2130554802095973,7.95934271812439,0.003162860870361328,"1.03**2 * Matern(length_scale=[9.91, 11.4, 0.724, 3.02, 3.82, 50.8, 1.57, 4.88, 2.6], nu=2.5) + WhiteKernel(noise_level=0.00102)"
800,1,0.02039020868743428,0.009351278555740151,0.9625007116130965,0.023001214653321608,0.009241062486085645,0.8850057111096865,110,0.021065389405069336,0.2107193654228009,27.05681562423706,0.006957530975341797,"1.05**2 * Matern(length_scale=[8.27, 9, 1.16, 3.34, 1.55, 36.1, 1.75, 5.75, 5.62], nu=2.5) + WhiteKernel(noise_level=0.00183)"
